mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_features,param_max_depth,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
637.5034009456634,59.362720506803235,2.2829826354980467,0.2114271750889789,300,10,1,auto,,"{'n_estimators': 300, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': 'auto', 'max_depth': None}",-86462.51696126672,-52029.837136017544,-20580.975659602,-18770.519040765266,-21367.68988909435,-39842.307737349176,26375.407021871877,94
87.0187780380249,5.069204532668496,1.565650510787964,0.18359264941469494,200,2,1,sqrt,20,"{'n_estimators': 200, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 20}",-81588.6828466194,-51104.43970685025,-16514.01541213397,-15565.62062722252,-18273.52588496451,-36609.25689555813,26138.52127792912,17
612.1982832908631,50.83305050408319,2.236963224411011,0.2904061864492995,300,10,4,auto,,"{'n_estimators': 300, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': 'auto', 'max_depth': None}",-86921.91601196256,-52368.33833599137,-20073.46069384051,-18197.454532133466,-20729.736547797598,-39658.181224345106,26824.685668860562,83
210.69651374816894,10.228327385577039,0.5558515548706054,0.0854045291972406,200,2,1,auto,10,"{'n_estimators': 200, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'auto', 'max_depth': 10}",-85743.50049203198,-51138.77241348252,-15800.174123395258,-15190.87899458107,-16757.534464862187,-36926.1720976706,27966.530925196177,34
97.27181768417358,6.303008581179408,1.9724929809570313,0.20365571648045672,200,2,2,sqrt,,"{'n_estimators': 200, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': None}",-81050.69953345922,-50993.286572012796,-17862.081470764475,-16546.941812907487,-19317.77239265062,-37154.15635635892,25429.92750896827,55
631.5294647693634,107.7580400433666,2.682892179489136,0.23384415681493265,300,2,4,auto,30,"{'n_estimators': 300, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_features': 'auto', 'max_depth': 30}",-86806.60441666516,-52453.79248482,-19508.035998429874,-18174.129724633895,-20689.158462253086,-39526.3442173604,26885.05613937127,78
45.097848081588744,5.02499258647046,0.8343349933624268,0.14826917131408932,100,2,4,sqrt,30,"{'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_depth': 30}",-81149.87002165691,-50940.0889226343,-17510.238095688972,-16317.321220465741,-19064.585154929413,-36996.42068307507,25584.52721584478,43
191.61964435577391,11.603936674564528,0.6698198795318604,0.14060042422922756,100,2,2,auto,20,"{'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'auto', 'max_depth': 20}",-87122.74532034116,-52494.02051625864,-17525.913595880815,-16904.14864078393,-19457.377453521385,-38700.84110535719,27672.068433034376,76
362.2425202846527,14.848973235340827,1.2064542293548584,0.3298642260582445,200,10,4,auto,20,"{'n_estimators': 200, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': 'auto', 'max_depth': 20}",-87002.77105294938,-52345.70961397398,-17576.83878524174,-16872.733790991428,-19386.51375751954,-38636.913400135214,27622.35117932292,67
103.70107140541077,7.310111065969204,1.9468254089355468,0.18072429107805862,200,5,1,sqrt,30,"{'n_estimators': 200, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 30}",-80588.39140578722,-50902.82830827565,-17965.92448742747,-16638.855807788208,-19541.79643233787,-37127.55928832328,25198.477091671997,53
217.71084365844726,14.876889692103301,0.6211014270782471,0.0927634124314799,200,2,2,auto,10,"{'n_estimators': 200, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'auto', 'max_depth': 10}",-85711.89497223518,-51161.39572329574,-15824.759847752588,-15202.518940809452,-16760.617661894234,-36932.237429197434,27951.83162244289,37
183.35361671447754,9.110789319780315,0.7438737869262695,0.11581212119472425,100,2,1,auto,20,"{'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'auto', 'max_depth': 20}",-87206.86306566409,-52538.85712358278,-17476.80349270597,-16972.579416813292,-19252.141248814612,-38689.448869516156,27731.401910174733,75
493.0349471569061,22.882155769028383,1.3701289653778077,0.30584972483178535,200,10,2,auto,20,"{'n_estimators': 200, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_features': 'auto', 'max_depth': 20}",-86979.39188945826,-52448.14143467352,-17524.455557118563,-16946.281212854694,-19372.056509640683,-38654.06532074914,27622.809007192063,70
103.5179943561554,11.604054004594857,4.600909471511841,5.899778663921153,200,10,1,sqrt,,"{'n_estimators': 200, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': None}",-80600.7859599176,-50533.63311907784,-18229.101851843385,-16800.39477943134,-19656.138000301602,-37164.010742114355,25080.803342503124,56
49.77007422447205,5.370205571225483,0.9053280830383301,0.22530972304445954,100,10,2,sqrt,30,"{'n_estimators': 100, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': 30}",-81034.67298642412,-50754.66741849708,-17755.267739965817,-16565.59075264098,-19272.163343322467,-37076.47244817009,25418.163010779997,49
