mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_n_estimators,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
10.522471237182618,0.972276451479106,0.06317777633666992,0.023431477395522194,0.01,3,50,0.8,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 50, 'subsample': 0.8}",-9480.211558489731,-41912.516243502396,-121259.37258370528,-120845.097561284,-121563.71514403798,-83012.18261820388,47909.35398745497,49
10.354675149917602,0.5424682112835824,0.04419064521789551,0.002861854257608493,0.01,3,50,1,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 50, 'subsample': 1}",-9502.883446317812,-41923.20981444051,-121265.29320266245,-120856.06900759408,-121570.22112829702,-83023.53531986238,47904.28508302111,50
20.004330778121947,0.7408600147658888,0.07934184074401855,0.009548425182587406,0.01,3,100,0.8,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.8}",-27436.97921247571,-34224.83629841672,-66164.0538492708,-65587.11919000342,-66568.95605494341,-51996.388921022015,17417.13569727383,44
20.24233694076538,1.713001499620141,0.07485370635986328,0.0023766748919650717,0.01,3,100,1,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100, 'subsample': 1}",-27418.276036239367,-34231.69843601011,-66177.88294215343,-65596.36980491818,-66557.08110022816,-51996.26166390985,17422.720053859222,43
30.167186641693114,1.0293153695276747,0.11848444938659668,0.014243163490469338,0.01,3,150,0.8,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 150, 'subsample': 0.8}",-44219.73876646355,-36591.792992700364,-41106.356672574984,-40493.43430131217,-41405.3377839666,-40763.33210340353,2447.4953542377216,28
28.897204208374024,1.5233105897093033,0.11834244728088379,0.009951768741710759,0.01,3,150,1,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 150, 'subsample': 1}",-44199.831160651534,-36563.352451594714,-41122.40315450462,-40507.25461656014,-41420.47548587942,-40762.663373838084,2452.5781428617966,27
17.886333084106447,1.192538411710813,0.09099230766296387,0.039768731218465136,0.01,5,50,0.8,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 50, 'subsample': 0.8}",-9671.193599925293,-41967.1743325484,-120746.1648879655,-120554.9546356117,-122324.77206704387,-83052.85190461896,47838.01405420859,51
17.732200336456298,0.8354719558284738,0.07580699920654296,0.010544949710446566,0.01,5,50,1,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 50, 'subsample': 1}",-9698.392705422639,-41961.621803331196,-120779.37941890322,-120549.99421877346,-122308.38494217295,-83059.55461772069,47832.39296771221,52
34.874331092834474,2.526592056494608,0.1616589069366455,0.03391348691518697,0.01,5,100,0.8,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 100, 'subsample': 0.8}",-28246.583337818138,-34181.69903191086,-65836.12784487155,-65384.26947449589,-67530.9274834754,-52235.92143451436,17281.349307868484,45
33.97246241569519,1.1884392487860365,0.13929085731506347,0.02927066865098351,0.01,5,100,1,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 100, 'subsample': 1}",-28247.674987186736,-34181.023080303465,-65934.37340057782,-65397.757238571154,-67530.57032146369,-52258.27980562057,17298.674026001998,46
52.66646809577942,2.1624752793186985,0.24072618484497071,0.026621992887854964,0.01,5,150,0.8,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 150, 'subsample': 0.8}",-45524.80575921249,-36527.45415723752,-40975.29287347667,-40401.162766157846,-42440.821737394035,-41173.907458695714,2924.431507385612,32
49.41119213104248,1.751468660979937,0.22800993919372559,0.049325188132971605,0.01,5,150,1,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 150, 'subsample': 1}",-45486.03067457833,-36533.33075153696,-41026.84799340405,-40410.32964789716,-42398.650895179155,-41171.03799251914,2906.337615607746,31
25.143305492401122,1.1585251723265213,0.1134521484375,0.02460672994599713,0.01,7,50,0.8,"{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 50, 'subsample': 0.8}",-9897.372156655923,-42052.44016692719,-120789.46640665912,-120470.40843573732,-122616.0283629591,-83165.14310578772,47795.53425907983,53
26.645518445968627,1.044027039308899,0.1287367343902588,0.03622271535297666,0.01,7,50,1,"{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 50, 'subsample': 1}",-9951.272409779533,-42041.679233379204,-120757.75425599083,-120499.7762750463,-122656.90608799888,-83181.47765243895,47787.21042179936,54
52.61409754753113,1.7766599109829786,0.23646483421325684,0.022140545534335938,0.01,7,100,0.8,"{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 100, 'subsample': 0.8}",-28851.49271840694,-34310.10110931582,-65846.51444787205,-65355.77828479661,-67929.05535105521,-52458.58838228932,17155.59369961586,47
52.36852593421936,2.624837738814266,0.2271731376647949,0.034528866372756636,0.01,7,100,1,"{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 100, 'subsample': 1}",-28947.32730828251,-34285.74688542733,-65844.15055907126,-65428.69385903941,-67891.88324309174,-52479.56037098245,17138.33636830376,48
75.64847569465637,3.769840038863788,0.37220058441162107,0.10337768638147868,0.01,7,150,0.8,"{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 150, 'subsample': 0.8}",-46540.78839094611,-36712.060633694535,-41040.81976113628,-40456.91823854601,-42929.96946164217,-41536.11129719302,3214.687218466516,34
